ElapsedTime,FrictionForceMagnitude
1,981000.1
2,986000.1
3,991000.1
4,996000.1
5,1001000
6,1006000
7,1011000
8,1016000
9,1021000
10,1026000
11,1031000
12,1036000
13,1041000
14,1046000
15,1051000
16,1056000
17,1061000
18,1066000
19,1071000
20,1076000
21,1081000
22,1086000
23,1091000
24,1096000
25,1101000
26,1106000
27,1111000
28,1116000
29,1121001
30,1126001
31,1131001
32,1136001
33,1141001
34,1146001
35,1151001
36,1156001
37,1161001
38,1166001
39,1171001
40,1176001
41,1181001
42,1186001
43,1191001
44,1196001
45,1201001
46,1206001
47,1211001
48,1216001
49,1221001
50,1226001
51,1231001
52,1236001
53,1241001
54,1246001
55,1251001
56,1256001
57,1261001
58,1266001
59,1271001
60,1276001
61,1281001
62,1286001
63,1291001
64,1296001
65,1301001
66,1306001
67,1311001
68,1316001
69,1321001
70,1326001
71,1331001
72,1336001
73,1341001
74,1346001
75,1351001
76,1356001
77,1361001
78,1366001
79,1371001
80,1376001
81,1381001
82,1386001
83,1391001
84,1396001
85,1401001
86,1406001
87,1411001
88,1416001
89,1421001
90,1426001
91,1431001
92,1436001
93,1441001
94,1446001
95,1451001
96,1456001
97,1461001
98,1466001
99,1471001
100,1476001
101,1481001
102,1486001
103,1491001
104,1496001
105,1501001
106,1506001
107,1511001
108,1516001
109,1521001
110,1526001
111,1531001
112,1536001
113,1541001
114,1546001
115,1551001
116,1556001
117,1561001
118,1566001
119,1571001
120,1576001
121,1581001
122,1586001
123,1591001
124,1596001
125,1601001
126,1606001
127,1611001
128,1616001
129,1621001
130,1626001
131,1631001
132,1636001
133,1641001
134,1646001
135,1651001
136,1656002
137,1661002
138,1666002
139,1671002
140,1676002
141,1681002
142,1686002
143,1691002
144,1696002
145,1701002
146,1706002
147,1711002
148,1716002
149,1721002
150,1726002
151,1731002
152,1736002
153,1741002
154,1746002
155,1751002
156,1756002
157,1761002
158,1766003
159,1771003
160,1776003
161,1781003
162,1786003
163,1791003
164,1796003
165,1801003
166,1806003
167,1811003
168,1816003
169,1821003
170,1826003
171,1831003
172,1836003
173,1841003
174,1846003
175,1851003
176,1856003
177,1861003
178,1866003
179,1871003
180,1876003
181,1881003
182,1886003
183,1891004
184,1896004
185,1901004
186,1906004
187,1911004
188,1916004
189,1921004
190,1926004
191,1931004
192,1936004
193,1941004
194,1946004
195,1951004
196,1956004
197,1961004
198,1966004
199,1971004
200,1976004
201,1981004
202,1986004
203,1991004
204,1996004
205,2001004
206,2006004
207,2011004
208,2016004
209,2021005
210,2026005
211,2031005
212,2036005
213,2041005
214,2046005
215,2051005
216,2056005
217,2061005
218,2066005
219,2071005
220,2076005
221,2081005
222,2086005
223,2091005
224,2096005
225,2101005
226,2106005
227,2111005
228,2116005
229,2121005
230,2126005
231,2131005
232,2136005
233,2141005
234,2146005
235,2151005
236,2156005
237,2161005
238,2166005
239,2171005
240,2176005
241,2181005
242,2186005
243,2191005
244,2196005
245,2201005
246,2206005
247,2211005
248,2216005
249,2221005
250,2226005
251,2231005
252,2236005
253,2241006
254,2246006
255,2251006
256,2256006
257,2261006
258,2266006
259,2271006
260,2276006
261,2281006
262,2286006
263,2291006
264,2296006
265,2301006
266,2306006
267,2311006
268,2316006
269,2321006
270,2326006
271,2331006
272,2336006
273,2341006
274,2346006
275,2351006
276,2356006
277,2361006
278,2366006
279,2371006
280,2376006
281,2381006
282,2386006
283,2391006
284,2396006
285,2401006
286,2406006
287,2411006
288,2416006
289,2421006
290,2426006
291,2431006
292,2436006
293,2441006
294,2446006
295,2451006
296,2456006
297,2461006
298,2466006
299,2471006
300,2476006
301,2481006
302,2486006
303,2491006
304,2496006
305,2501006
306,2506006
307,2511006
308,2516006
309,2521006
310,2526006
311,2531006
312,2536006
313,2541006
314,2546006
315,2551006
316,2556006
317,2561006
318,2566006
319,2571006
320,2576006
321,2581006
322,2586006
323,2591006
324,2596006
325,2601006
326,2606006
327,2611006
328,2616006
329,2621006
330,2626006
331,2631006
332,2636006
333,2641006
334,2646006
335,2651006
336,2656006
337,2661006
338,2666006
339,2671006
340,2676006
341,2681006
342,2686006
343,2691006
344,2696006
345,2701006
346,2706006
347,2711006
348,2716006
349,2721006
350,2726006
351,2731006
352,2736006
353,2741006
354,2746006
355,2751006
356,2756006
357,2761006
358,2766006
359,2771006
360,2776006
361,2781006
362,2786006
363,2791006
364,2796006
365,2801006
366,2806006
367,2811006
368,2808187
369,2803188
370,2798188
371,2793188
372,2788188
373,2793188
374,2788188
375,2783188
376,2778188
377,2773188
378,2778188
379,2775079
380,2770079
381,2765079
382,2760079
383,2755079
384,2760079
385,2756305
386,2751305
387,2746305
388,2741305
389,2736305
390,2741305
391,2738582
392,2733582
393,2728582
394,2723582
395,2718582
396,2723582
397,2721829
398,2716829
399,2711829
400,2706829
401,2701829
402,2706829
403,2705972
404,2700972
405,2695972
406,2690973
407,2685973
408,2680973
409,2685973
410,2685021
411,2680021
412,2675021
413,2670021
414,2665022
415,2660022
416,2665022
417,2665400
418,2660400
419,2655400
420,2650400
421,2645400
422,2640400
423,2635400
424,2640400
425,2641612
426,2636612
427,2631612
428,2626612
429,2621612
430,2616612
431,2611612
432,2606612
433,2611612
434,2614472
