ElapsedTime,Speed
1,0
2,89.48401
3,89.48401
4,89.48401
5,89.48401
6,89.48401
7,89.48401
8,89.48401
9,89.48401
10,89.48401
11,89.48401
12,89.48401
13,87.12961
14,86.9334
15,86.73721
16,86.54101
17,86.34481
18,86.14861
19,85.9524
20,85.7562
21,85.56001
22,85.3638
23,85.1676
24,84.9714
25,84.77519
26,84.57899
27,84.38279
28,84.18659
29,83.99039
30,83.79419
31,83.59799
32,83.40179
33,83.2056
34,83.0094
35,82.8132
36,82.617
37,82.42081
38,82.2246
39,82.0284
40,81.83221
41,81.636
42,81.4398
43,81.24361
44,81.04741
45,80.85121
46,80.65501
47,80.4588
48,80.2626
49,80.06641
50,79.87021
51,79.674
52,79.47781
53,79.28161
54,79.0854
55,78.88921
56,78.69301
57,78.49681
58,78.30061
59,78.10441
60,77.90821
61,77.71201
62,77.51582
63,77.31961
64,77.12341
65,76.92722
66,76.73102
67,76.53481
68,76.33862
69,76.14242
70,75.94622
71,75.75002
72,75.55383
73,75.35763
74,75.16142
75,74.96523
76,74.76903
77,74.57282
78,74.37663
79,74.18042
80,73.98422
81,73.78802
82,73.59182
83,73.39562
84,73.19942
85,73.00323
86,72.80703
87,72.61083
88,72.41463
89,72.21843
90,72.02222
91,71.82603
92,71.62982
93,71.43362
94,71.23743
95,71.04122
96,70.84502
97,70.64882
98,70.45262
99,70.25642
100,70.06022
101,69.86402
102,69.66782
103,69.47163
104,69.27543
105,69.07922
106,68.88303
107,68.68682
108,68.49062
109,68.29443
110,68.09822
111,67.90202
112,67.70583
113,67.50963
114,67.31342
115,67.11723
116,66.92103
117,66.72482
118,66.52863
119,66.33243
120,66.13622
121,65.94003
122,65.74383
123,65.54763
124,65.35143
125,65.15523
126,64.95903
127,64.76283
128,64.56663
129,64.37043
130,64.17422
131,63.97803
132,63.78183
133,63.58563
134,63.38943
135,63.19323
136,62.99703
137,62.80083
138,62.60463
139,62.40843
140,62.21223
141,62.01603
142,61.81983
143,61.62363
144,61.42743
145,61.23123
146,61.03503
147,60.83883
148,60.64263
149,60.44643
150,60.25023
151,60.05403
152,59.85783
153,59.66163
154,59.46544
155,59.26923
156,59.07304
157,58.87683
158,58.68064
159,58.48444
160,58.28824
161,58.09204
162,57.89584
163,57.69963
164,57.50344
165,57.30724
166,57.11104
167,56.91484
168,56.71864
169,56.52244
170,56.32624
171,56.13004
172,55.93384
173,55.73764
174,55.54144
175,55.34524
176,55.14904
177,54.95284
178,54.75664
179,54.56044
180,54.36424
181,54.16804
182,53.97184
183,53.77564
184,53.57944
185,53.38324
186,53.18704
187,52.99084
188,52.79464
189,52.59844
190,52.40224
191,52.20605
192,52.00985
193,51.81365
194,51.61745
195,51.42125
196,51.22505
197,51.02885
198,50.83265
199,50.63645
200,50.44025
201,50.24405
202,50.04784
203,49.85165
204,49.65545
205,49.45924
206,49.26305
207,49.06685
208,48.87065
209,48.67445
210,48.47825
