ElapsedTime,Speed
1,0
2,0.3496
3,0.6992001
4,1.0488
5,1.3984
6,1.748
7,2.0976
8,2.3472
9,2.5968
10,2.8464
11,3.096
12,3.3456
13,1.206584
14,1.267496
15,1.35122
16,1.406614
17,1.461468
18,1.515305
19,1.568808
20,1.622281
21,1.675701
22,1.729122
23,1.782521
24,1.835928
25,1.889324
26,1.942708
27,1.996117
28,2.049505
29,2.102895
30,2.156292
31,2.209679
32,2.263071
33,2.316465
34,2.369856
35,2.423253
36,2.476661
37,2.530053
38,2.583341
39,2.636143
40,2.689395
41,2.742736
42,2.796111
43,2.849485
44,2.902862
45,2.956237
46,3.009612
47,3.062985
48,3.116354
49,3.169724
50,3.223092
51,3.276462
52,3.329826
53,3.383194
54,3.436557
55,3.489902
56,3.54325
57,3.5966
58,3.649945
59,3.703294
60,3.756644
61,3.809988
62,3.863353
63,3.9167
64,3.970052
65,4.023398
66,4.076745
67,4.13029
68,4.184228
69,4.23785
70,4.291331
71,4.344752
72,4.398164
73,4.451567
74,4.504972
75,4.558361
76,4.611749
77,4.665154
78,4.718531
79,4.771933
80,4.825322
81,4.878722
82,4.932103
83,4.985511
84,5.038911
85,5.092314
86,5.145731
87,5.199145
88,5.252546
89,5.305963
90,5.359376
91,5.412786
92,5.466201
93,5.519604
94,5.573033
95,5.626424
96,5.679852
97,5.733253
98,5.786659
99,5.840066
100,5.893457
101,5.94686
102,6.000256
103,6.053661
104,6.107064
105,6.160456
106,6.213855
107,6.267262
108,6.32066
109,6.374053
110,6.427462
111,6.480832
112,6.534238
113,6.587631
114,6.641032
115,6.694438
116,6.74784
117,6.801233
118,6.854636
119,6.908024
120,6.961423
121,7.014816
122,7.068222
123,7.121613
124,7.175013
125,7.228399
126,7.281794
127,7.33519
128,7.38857
129,7.441955
130,7.495362
131,7.548749
132,7.602148
133,7.655541
134,7.70894
135,7.762332
136,7.815728
137,7.869125
138,7.922493
139,7.975874
140,8.029275
141,8.082669
142,8.136074
143,8.189477
144,8.24287
145,8.29628
146,8.34956
147,8.403183
148,8.456654
149,8.5101
150,8.563519
151,8.616913
152,8.670325
153,8.72374
154,8.777145
155,8.83056
156,8.883942
157,8.937349
158,8.990728
159,9.044142
160,9.097532
161,9.150916
162,9.204322
163,9.257713
164,9.311092
165,9.364507
166,9.417883
167,9.471286
168,9.52468
169,9.578061
170,9.631465
171,9.684835
172,9.738204
173,9.791566
174,9.844976
175,9.898372
176,9.951788
177,10.00519
178,10.05859
179,10.112
180,10.16541
181,10.21881
182,10.27221
183,10.3256
184,10.37902
185,10.43242
186,10.48583
187,10.53924
188,10.59264
189,10.64605
190,10.69945
191,10.75286
192,10.80626
193,10.85967
194,10.91307
195,10.96648
196,11.01989
197,11.0733
198,11.12669
199,11.1801
200,11.2335
201,11.28691
202,11.34032
203,11.39373
204,11.44712
205,11.50054
206,11.55395
207,11.60735
208,11.66077
209,11.71415
210,11.76756
211,11.82097
212,11.87437
213,11.92778
214,11.98119
215,12.03459
216,12.088
217,12.1414
218,12.19481
219,12.24822
220,12.30161
221,12.35502
222,12.40843
223,12.46183
224,12.51524
225,12.56864
226,12.62205
227,12.67545
228,12.72884
229,12.78225
230,12.83565
231,12.88906
232,12.94246
233,12.99587
234,13.04927
235,13.10266
236,13.15607
237,13.20948
238,13.26288
239,13.31628
240,13.36968
241,13.42308
242,13.47648
243,13.52988
244,13.58328
245,13.63668
246,13.69008
247,13.74349
248,13.79689
249,13.85029
250,13.90369
251,13.95709
252,14.01049
253,14.06389
254,14.11729
255,14.1707
256,14.22408
257,14.27748
258,14.33088
259,14.38427
260,14.43768
261,14.49108
262,14.54447
263,14.59787
264,14.65125
265,14.70465
266,14.75805
267,14.81145
268,14.86484
269,14.91824
270,14.97163
271,15.02503
272,15.07844
273,15.13182
274,15.18515
275,15.23863
276,15.29203
277,15.34543
278,15.39883
279,15.45222
280,15.50562
281,15.55902
282,15.61242
283,15.66582
284,15.71922
285,15.77261
286,15.82601
287,15.87941
288,15.9328
289,15.98621
290,16.0396
291,16.093
292,16.1464
293,16.1998
294,16.25319
295,16.30659
296,16.35999
297,16.41339
298,16.46679
299,16.52019
300,16.57358
301,16.62698
302,16.68038
303,16.73378
304,16.78703
305,16.83974
306,16.89305
307,16.94646
308,16.99988
309,17.05329
310,17.10669
311,17.1601
312,17.2135
313,17.2669
314,17.32031
315,17.37371
316,17.42711
317,17.48054
318,17.53394
319,17.58735
320,17.64075
321,17.69415
322,17.74755
323,17.80095
324,17.85436
325,17.90777
326,17.96118
327,18.01458
328,18.06804
329,18.12136
330,18.17484
331,18.22817
332,18.28164
333,18.33497
334,18.13884
335,17.8791
336,17.61954
337,17.3598
338,17.10024
339,16.84063
340,16.58084
341,16.32129
342,16.06167
343,15.80188
344,15.54233
345,15.2827
346,15.02307
347,14.76328
348,14.50372
349,14.2441
350,13.98446
351,13.7248
352,13.46516
353,13.20551
354,12.94587
355,12.68621
356,12.42655
357,12.16691
358,11.90725
359,11.64758
360,11.38793
361,11.12829
362,10.86863
363,10.60898
364,10.34933
365,10.08968
366,9.830029
367,9.570379
368,9.310721
369,9.051072
370,8.791449
371,8.531605
372,8.271916
373,8.01226
374,7.752607
375,7.492966
376,7.233315
377,6.973661
378,6.714012
379,6.454358
380,6.194712
381,5.935062
382,5.675412
383,5.415768
384,5.156117
385,4.896467
386,4.636817
387,4.377166
388,4.117515
389,3.857866
390,3.598217
391,3.338567
392,3.078917
393,2.81927
394,2.559621
395,2.299973
396,2.040322
397,1.780672
398,1.521023
399,1.261371
400,1.001724
401,0.7420731
402,0.4824238
403,0.2227736
404,0.002687379
